"","Hash","C1.T7.H9_S2","C1.T8.H10_S2","C2.T8.H18_S2","C2.T9.H19_S2","C3.T6.H25_S2","C3.T7.H26_S2","CT1.T1.H28_S2","CT1.T2.H29_S2","CT1.T3.H30_S2","CT1.T4.H31_S2","CT1.T5.H32_S2","CT1.T6.H33_S2","CT1.T7.H34_S2","CT1.T8.H35_S2","CT2.T1.H36_S2","CT2.T4.H39_S2","CT2.T8.H43_S2"
"171","230c4202501539cb55edaaf30e6e7b271d095d27",0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
"172","237d6d5b11b002eeabbbea27bc8acc194c73208c",0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"173","23a49f9547ba87c70b5943f98ec717bd1d4599cd",0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
"174","23d6e9d3191dcc649b6b3d2fe2da9b7b4e950417",0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0
"175","2439425b99d37e9ac683f3246f96980d412ce40c",23,0,52,0,0,0,0,0,0,0,0,0,0,0,0,244,16
"176","2441c8a4277be431371a52574e0f0ad5ecb18362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","245d10f3ede9a4edf02a33bd50b494c74e1d9338",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"178","2462a24f3335dc078a0a39c43b3e0bc081341014",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"179","247f09ccc8ae0ecc2da039900610e5494db93abe",0,0,43,0,7,0,0,45,0,0,66,0,0,0,0,0,0
"180","24a511e69768d46f911d90afe72d879e94c6540c",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","24bd73a666289f14a15e45be68aad4de9cb7049c",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"182","24d911ac00ab2667f8f04ba455dcd5ac7db3bb6e",0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0
"183","24e4607676e74f1fd537a6da5514e67c0833e7fb",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
