"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"10d98a9e8191737474408e3922019918cf9ce20e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma","Pleuromamma abdominalis"
"2655c6ab73c0d798851414a6bc09fc1b4469d3a9","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",""
"499488cac0be3a2185ce9f654a389130100bac2f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"85d0a3d2fe93ca7160c75f8753085418b192e8d2","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"97579af49fb63e960479c4a6530d002b46621307","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia",""
"99ba0382e7a698637a042caec0dcdd415f551b33","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Rhincalanidae","Rhincalanus",""
"9de3f58457ccf68ca3a16726901dc832f5c69469","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",""
"9eb9bcecb427fec7490eb8091ae120d4cbd47c0f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"b49b5b962f90500633efdc08ccee2e44af816ced","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia","Metridia pacifica"
"c56cb43892bfad7096fa1b1ffa56e0ba1292e44f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"de38d67c87ce18898199b109b4a05faf046c5f69","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
